Timestamp,q.w,q.i,q.j,q.k,euler
1717193247917,0.8087848,-0.01260414,0.5879696,-0.000122074,[-177.21353738  -72.00411176   -3.81048039]
1717193247917,0.7753341,-0.01248207,0.6314279,0.0002746666,[-175.6708235   -78.27718555   -5.3682821 ]
1717193247917,0.7620249,-0.01287881,0.6474196,9.155553e-05,[-174.16071943  -80.64569708   -6.89377577]
1717193247917,0.7548442,-0.01266518,0.6557817,0.000122074,[-173.30308683  -81.90229056   -7.73565153]
1717193247917,0.7504141,-0.01260414,0.6608478,-0.000122074,[-172.41988705  -82.66467838   -8.59360456]
1717193247917,0.7471958,-0.01284829,0.6644795,-0.0005188147,[-171.32066348  -83.20669347   -9.6801459 ]
1717193247917,0.7449643,-0.01275674,0.666982,-0.0007019257,[-170.69716638  -83.5844476   -10.28116148]
1717193247917,0.7434298,-0.01278726,0.668691,-0.0009765923,[-170.04455617  -83.83922508  -10.91384007]
1717193247917,0.7421953,-0.01260414,0.6700644,-0.0009765923,[-169.80895662  -84.04997895  -11.13448793]
1717193247917,0.7411745,-0.01257363,0.6711936,-0.00122074,[-169.30957386  -84.21798969  -11.61151559]
1717193247917,0.7404256,-0.01263466,0.6720176,-0.001617481,[-168.67823328  -84.33567718  -12.21557266]
1717193247917,0.7397574,-0.01272622,0.67275,-0.002136296,[-167.92357647  -84.43635323  -12.93552923]
1717193247917,0.7392291,-0.01266518,0.6733299,-0.002594073,[-167.37116978  -84.51691477  -13.44581861]
1717193247917,0.7386481,-0.01239051,0.6739708,-0.002990814,[-167.00386697  -84.61115162  -13.75862454]
1717193247917,0.7380903,-0.01229896,0.6745811,-0.003418073,[-166.46010965  -84.69681133  -14.2602711 ]
1717193247917,0.737782,-0.01232948,0.6749169,-0.003601184,[-166.13399742  -84.74328291  -14.57399231]
1717193247917,0.7374765,-0.01226844,0.6752526,-0.003448592,[-166.18196426  -84.79795395  -14.53343616]
1717193247917,0.737141,-0.01229896,0.6756188,-0.003357036,[-166.08522125  -84.85434101  -14.64006505]
1717193247917,0.7368031,-0.01242103,0.675985,-0.003357036,[-165.82394173  -84.90718924  -14.91123077]
1717193247917,0.736524,-0.01239051,0.6762902,-0.003234962,[-165.82854678  -84.95616978  -14.91403765]
1717193247917,0.736218,-0.01229896,0.6766258,-0.003051851,[-165.92978509  -85.01212665  -14.82020971]
1717193247917,0.7359952,-0.01223792,0.67687,-0.00286874,[-166.0473385   -85.05373504  -14.71254518]
1717193247917,0.7357435,-0.0122074,0.6771447,-0.002746666,[-166.0676566   -85.09816267  -14.69963982]
1717193247917,0.7355478,-0.01217689,0.6773583,-0.002624592,[-166.1158695   -85.13338539  -14.65884302]
1717193247917,0.7353802,-0.01214637,0.6775414,-0.002471999,[-166.20822079  -85.16460519  -14.5763832 ]
1717193247917,0.7352957,-0.01217689,0.677633,-0.002349925,[-166.2583546   -85.18026961  -14.53862057]
1717193247917,0.7352397,-0.01217689,0.677694,-0.00225837,[-166.32020157  -85.19128202  -14.48419569]
1717193247917,0.735185,-0.01211585,0.6777551,-0.002075259,[-166.52722342  -85.20517924  -14.28706985]
1717193247917,0.7351584,-0.01205481,0.6777856,-0.001892148,[-166.74888578  -85.21439051  -14.07530485]
1717193247917,0.7351574,-0.01211585,0.6777856,-0.001861629,[-166.72359317  -85.21388376  -14.10802321]
1717193247917,0.7350717,-0.0122074,0.6778771,-0.001800592,[-166.66012056  -85.22725694  -14.18386671]
1717193247917,0.7350156,-0.0122074,0.6779382,-0.001678518,[-166.7535251   -85.23883812  -14.10035892]
1717193247917,0.7348768,-0.01211585,0.6780908,-0.001495407,[-166.95150212  -85.26703876  -13.90979873]
1717193247917,0.7348213,-0.01208533,0.6781518,-0.001342814,[-167.10492091  -85.2796719   -13.7662761 ]
1717193247917,0.7346512,-0.01214637,0.6783349,-0.001373333,[-166.93745193  -85.3058111   -13.93621213]
1717193247917,0.734538,-0.01217689,0.678457,-0.001373333,[-166.85466771  -85.32378328  -14.02146584]
1717193247917,0.7343948,-0.01229896,0.6786095,-0.001464888,[-166.57958629  -85.34296926  -14.29901604]
1717193247917,0.7342232,-0.01242103,0.6787927,-0.001556444,[-166.28775593  -85.36669346  -14.59331364]
1717193247917,0.7341679,-0.01236,0.6788538,-0.001525925,[-166.34710712  -85.37765936  -14.53148464]
1717193247917,0.7340816,-0.01245155,0.6789453,-0.001586962,[-166.15571019  -85.38860506  -14.72535269]
1717193247917,0.7340516,-0.01254311,0.6789758,-0.001678518,[-165.96192929  -85.38966906  -14.9191336 ]
1717193247917,0.7339933,-0.01263466,0.6790369,-0.001770074,[-165.75302405  -85.39530109  -15.12803661]
