Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.9999368,-0.001739555,-0.01110874,0.0,[179.99778506   1.27299207  -0.19937532]
1716936526109,0.9998959,-0.002227851,-0.01425214,-3.051851e-05,[179.99985827   1.63323406  -0.2553211 ]
1716936526109,0.9998823,-0.002990814,-0.01504563,-6.103702e-05,[-179.99816213    1.72418052   -0.3427337 ]
1716936526109,0.9998802,-0.002410962,-0.01528977,-9.155553e-05,[-179.99373103    1.75216705   -0.2762126 ]
1716936526109,0.9998828,-0.002197333,-0.01513718,-0.0006103702,[-179.93384606    1.7348086    -0.25082334]
1716936526109,0.999894,-0.001495407,-0.01443525,-0.00122074,[-1.79862545e+02  1.65442135e+00 -1.69394399e-01]
1716936526109,0.999893,-0.002349925,-0.01440474,-0.001037629,[-179.8849403     1.6509927    -0.26765204]
1716936526109,0.9998901,-0.002716147,-0.01455733,-0.0006714072,[-179.92757106    1.66840863   -0.31022635]
1716936526109,0.9998977,-0.002716147,-0.01403851,-0.0002746666,[-179.97288751    1.60882716   -0.31089792]
1716936526109,0.9998959,-0.003082369,-0.01409955,6.103702e-05,[179.98802149   1.61571361  -0.35341803]
1716936526109,0.9998933,-0.003448592,-0.01419111,0.0002746666,[179.96290591   1.62611771  -0.39574656]
1716936526109,0.9998931,-0.003509629,-0.01419111,0.0003357036,[179.95581022   1.6260908   -0.40284231]
1716936526109,0.9998878,-0.003509629,-0.01455733,0.0003357036,[179.95566214   1.66806066  -0.40286279]
1716936526109,0.9998863,-0.003418073,-0.0146794,0.0003051851,[179.95926512   1.68206636  -0.39232331]
1716936526109,0.9998844,-0.003326518,-0.014832,0.0003051851,[179.9593607    1.69955849  -0.38183633]
1716936526109,0.9998828,-0.003265481,-0.01495407,0.0003051851,[179.95941855   1.7135506   -0.37484597]
1716936526109,0.9998852,-0.003234962,-0.01480148,0.0003051851,[179.95952775   1.69606442  -0.37133968]
1716936526109,0.9998889,-0.003448592,-0.01449629,0.0003357036,[179.95578825   1.66106799  -0.39586279]
1716936526109,0.9998868,-0.003540147,-0.01461837,0.0003357036,[179.95558632   1.67505467  -0.40636446]
1716936526109,0.9998903,-0.003295999,-0.01443525,0.0003357036,[179.95606501   1.65407936  -0.37836796]
1716936526109,0.9998927,-0.003387555,-0.01425214,0.0003357036,[179.95598498   1.6330903   -0.3888527 ]
1716936526109,0.9998906,-0.003204443,-0.01443525,0.0003357036,[179.95621651   1.65408337  -0.36787308]
1716936526109,0.9998918,-0.003234962,-0.0143437,0.0003357036,[179.95620014   1.64359017  -0.37136643]
1716936526109,0.9998899,-0.003173925,-0.01449629,0.0003357036,[179.95624468   1.66107993  -0.36437815]
1716936526109,0.9998871,-0.003326518,-0.01464888,0.0003357036,[179.95593261   1.67856065  -0.38187807]
